Word,Emotion,Figurative,Physical,Emotion_sticky,Figurative_sticky,Physical_sticky
in,,,,,,
Neville's,,,1,,,
voice,,,,,,
that,,,,,,
said,,,,,,
only,,,,,,
too,,,,,,
clearly,,,,,,
that,,,,,,
he,,,,,,
wanted,,,,,,
to,,,,,,
keep,,,,,,
his,,,,,,
feet,,,1,,,
on,,,,,,
the,,,,,,
ground.,,,1,,,
,,,,,,
Madam,,,1,,,
Hooch,,,1,,,
then,,,,,,
showed,,,,,,
them,,,,,,
how,,,,,,
to,,,,,,
mount,,,,,,
their,,,,,,
brooms,,,1,,,
without,,,,,,
sliding,,,,,,
off,,,,,,
the,,,,,,
"end,",,,,,,
and,,,,,,
walked,,,,,,
up,,,,,,
and,,,,,,
down,,,,,,
the,,,,,,
rows,,,,,,
correcting,,,,,,
their,,,,,,
grips.,,,,,,
Harry,,,1,,,
and,,,,,,
Ron,,,1,,,
were,,,,,,
delighted,1,,,,,
when,,,,,,
she,,,,,,
told,,,,,,
Malfoy,,,1,,,
he'd,,,,,,
been,,,,,,
doing,,,,,,
it,,,,,,
wrong,,,,,,
for,,,,,,
years.,,,,,,
,,,,,,
"""Now,",,,,,,
when,,,,,,
I,,,,,,
blow,,,,,,
my,,,,,,
"whistle,",,,1,,,
you,,,,,,
kick,,1,,,,
off,,1,,,,
from,,,,,,
the,,,,,,
"ground,",,,1,,,
"hard,""",,,,,,
said,,,,,,
Madam,,,1,,,
Hooch.,,,1,,,
"""Keep",,,,,,
your,,,,,,
brooms,,,1,,,
"steady,",,,,,,
rise,,,,,,
a,,,,,,
few,,,,,,
"feet,",,,,,,
and,,,,,,
then,,,,,,
come,,,,,,
straight,,,,,,
back,,,,,,
down,,,,,,
by,,,,,,
leaning,,,,,,
forward,,,,,,
slightly.,,,,,,
On,,,,,,
my,,,,,,
whistle,,,1,,,
--,,,,,,
three,,,,,,
--,,,,,,
two,,,,,,
"--""",,,,,,
,,,,,,
But,,,,,,
"Neville,",,,1,,,
nervous,1,,,,,
and,,,,,,
jumpy,1,,,,,
and,,,,,,
frightened,1,,,,,
of,,,,,,
being,,,,,,
left,,,,,,
on,,,,,,
the,,,,,,
"ground,",,,1,,,
pushed,,,,,,
off,,,,,,
hard,,,,,,
before,,,,,,
the,,,,,,
whistle,,,1,,,
had,,,,,,
touched,,,,,,
Madam,,,1,,,
Hooch's,,,1,,,
lips.,,,,,,
,,,,,,
"""Come",,,,,,
"back,",,,,,,
"boy!""",,,1,,,
she,,,,,,
"shouted,",,,,,,
but,,,,,,
Neville,,,1,,,
was,,,,,,
rising,,,,,,
straight,,,,,,
up,,,,,,
like,,1,,,,
a,,1,,,,
cork,,1,1,,,
shot,,1,,,,
out,,1,,,,
of,,1,,,,
a,,1,,,,
bottle,,1,1,,,
--,,,,,,
twelve,,,,,,
feet,,,,,,
--,,,,,,
twenty,,,,,,
feet.,,,,,,
Harry,,,1,,,
saw,,,,,,
his,,,,,,
scared,1,,,,,
white,,,,,,
face,,,,,,
look,,,,,,
down,,,,,,
at,,,,,,
the,,,,,,
ground,,,1,,,
falling,,1,,,,
"away,",,1,,,,
saw,,,,,,
him,,,,,,
"gasp,",1,,,,,
slip,,,,,,
sideways,,,,,,
off,,,,,,
the,,,,,,
broom,,,1,,,
and,,,,,,
--,,,,,,
,,,,,,
WHAM,,,,,,
--,,,,,,
a,,,,,,
thud,,,,,,
and,,,,,,
a,,,,,,
nasty,,,,,,
crack,,,,,,
and,,,,,,
Neville,,,1,,,
lay,,,,,,
facedown,,,,,,
on,,,,,,
the,,,,,,
grass,,,1,,,
in,,1,,,,
a,,1,,,,
heap.,,1,,,,
His,,,,,,
broomstick,,,1,,,
was,,,,,,
still,,,,,,
rising,,,,,,
higher,,,,,,
and,,,,,,
"higher,",,,,,,
and,,,,,,
started,,,,,,
to,,,,,,
drift,,1,,,,
lazily,,1,,,,
toward,,,,,,
the,,,,,,
forbidden,,,1,,,
forest,,,1,,,
and,,,,,,
out,,,,,,
of,,,,,,
sight.,,,,,,
,,,,,,
Madam,,,1,,,
Hooch,,,1,,,
was,,,,,,
bending,,,,,,
over,,,,,,
"Neville,",,,1,,,
her,,,,,,
face,,,,,,
as,,,,,,
white,,,,,,
as,,,,,,
his.,,,,,,
"""Broken",,,,,,
"wrist,""",,,1,,,
Harry,,,1,,,
heard,,,,,,
her,,,,,,
mutter.,,,,,,
"""Come",,,,,,
"on,",,,,,,
boy,,,1,,,
--,,,,,,
it's,,,,,,
all,,,,,,
"right,",,,,,,
up,,,,,,
you,,,,,,
"get.""",,,,,,
,,,,,,
She,,,,,,
turned,,,,,,
to,,,,,,
the,,,,,,
rest,,,,,,
of,,,,,,
the,,,,,,
class.,,,,,,
"""None",,,,,,
of,,,,,,
you,,,,,,
is,,,,,,
to,,,,,,
move,,,,,,
while,,,,,,
I,,,,,,
take,,,,,,
this,,,,,,
boy,,,1,,,
to,,,,,,
the,,,,,,
hospital,,,1,,,
wing!,,,1,,,
You,,,,,,
leave,,,,,,
those,,,,,,
brooms,,,1,,,
where,,,,,,
they,,,,,,
are,,,,,,
or,,,,,,
you'll,,,,,,
be,,,,,,
out,,,,,,
of,,,,,,
Hogwarts,,,,,,
before,,,,,,
you,,,,,,
can,,,,,,
say,,,,,,
'Quidditch.',,,,,,
Come,,,,,,
"on,",,,,,,
"dear.""",,,,,,
,,,,,,
"Neville,",,,1,,,
